1, Hà Giang, 2022-11-20, 09:02, 22°, Nhiều mây, 20°, 27°, 27°, 10 km, 0.72 km/giờ, 21 °C, 0, Khá
2, Cao Bằng, 2022-11-20, 09:02, 21°, Nhiều mây, 19°, 29°, 29°, 10 km, 0.64 km/giờ, 20 °C, 0.16, Kém
3, Bắc Kạn, 2022-11-20, 09:02, 21°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.87 km/giờ, 21 °C, 0, Kém
4, Tuyên Quang, 2022-11-20, 09:02, 23°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.79 km/giờ, 22 °C, 0, Khá
5, Thái Nguyên, 2022-11-20, 09:02, 24°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.55 km/giờ, 20 °C, 0, Kém
6, Lạng Sơn, 2022-11-20, 09:02, 22°, Nhiều mây, 19°, 28°, 28°, 10 km, 1.84 km/giờ, 19 °C, 0, Kém
7, Quảng Ninh, 2022-11-20, 09:02, 26°, Nhiều mây, 21°, 28°, 28°, 10 km, 1.05 km/giờ, 20 °C, 2.88, Rất kém
8, Bắc Giang, 2022-11-20, 09:02, 23°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.86 km/giờ, 18 °C, 0, Kém
9, Phú Thọ, 2022-11-20, 09:02, 25°, Nhiều mây, 21°, 29°, 29°, 10 km, 2.48 km/giờ, 21 °C, 0, Trung bình
10, Lào Cai, 2022-11-20, 09:02, 23°, Nhiều mây, 22°, 28°, 28°, 10 km, 0.62 km/giờ, 23 °C, 0, Tốt
11, Điện Biên, 2022-11-20, 09:02, 23°, Nhiều mây, 18°, 31°, 31°, 10 km, 0.94 km/giờ, 21 °C, 0, Khá
12, Lai Châu, 2022-11-20, 09:02, 24°, Nhiều mây, 19°, 29°, 29°, 10 km, 0.61 km/giờ, 22 °C, 0, Tốt
13, Sơn La, 2022-11-20, 09:02, 23°, Nhiều mây, 17°, 27°, 27°, 10 km, 1.54 km/giờ, 19 °C, 2.35, Khá
14, Yên Bái, 2022-11-20, 09:02, 24°, Nhiều mây, 21°, 28°, 28°, 10 km, 1.5 km/giờ, 22 °C, 0, Trung bình
15, Hoà Bình, 2022-11-20, 09:02, 24°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.39 km/giờ, 22 °C, 2.51, Kém
16, Hà Nội, 2022-11-20, 09:02, 24°, Bầu trời quang đãng, 22°, 30°, 30°, 10 km, 4.12 km/giờ, 20 °C, 1.47, Kém
17, Vĩnh Phúc, 2022-11-20, 09:02, 24°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.8 km/giờ, 19 °C, 0, Kém
18, Bắc Ninh, 2022-11-20, 09:02, 24°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.69 km/giờ, 16 °C, 2.39, Kém
19, Hải Dương, 2022-11-20, 09:02, 27°, Nhiều mây, 22°, 31°, 31°, 10 km, 1.17 km/giờ, 20 °C, 2.66, Kém
20, Hải Phòng, 2022-11-20, 09:02, 27°, Bầu trời quang đãng, 22°, 30°, 30°, 10 km, 2.57 km/giờ, 21 °C, 0, Kém
21, Hưng Yên, 2022-11-20, 09:02, 27°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.82 km/giờ, 20 °C, 2.66, Rất kém
22, Thái Bình, 2022-11-20, 09:02, 26°, Mây cụm, 24°, 29°, 29°, 10 km, 4.17 km/giờ, 21 °C, 0, Rất kém
23, Hà Nam, 2022-11-20, 09:02, 26°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.87 km/giờ, 21 °C, 0, Rất kém
24, Nam Định, 2022-11-20, 09:02, 26°, Mây cụm, 23°, 29°, 29°, 10 km, 3.21 km/giờ, 21 °C, 2.68, Rất kém
