1, Hà Giang, 2022-11-20, 00:00, 21°, Nhiều mây, 21°, 26°, 26°, 10 km, 0.42 km/giờ, 21 °C, 0, Khá
2, Cao Bằng, 2022-11-20, 00:00, 20°, Nhiều mây, 19°, 28°, 28°, 10 km, 0.73 km/giờ, 19 °C, 0, Kém
3, Bắc Kạn, 2022-11-20, 00:00, 21°, Nhiều mây, 19°, 29°, 29°, 10 km, 0.96 km/giờ, 21 °C, 0, Trung bình
4, Tuyên Quang, 2022-11-20, 00:00, 22°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.44 km/giờ, 22 °C, 0, Khá
5, Thái Nguyên, 2022-11-20, 00:00, 25°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.78 km/giờ, 23 °C, 0, Kém
6, Lạng Sơn, 2022-11-20, 00:00, 20°, Nhiều mây, 19°, 29°, 29°, 10 km, 1.76 km/giờ, 19 °C, 0, Kém
7, Quảng Ninh, 2022-11-20, 00:00, 22°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.81 km/giờ, 19 °C, 0, Kém
8, Bắc Giang, 2022-11-20, 00:00, 25°, Nhiều mây, 22°, 31°, 31°, 10 km, 2.46 km/giờ, 20 °C, 0, Kém
9, Phú Thọ, 2022-11-20, 00:00, 24°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.21 km/giờ, 21 °C, 0, Trung bình
10, Lào Cai, 2022-11-20, 00:00, 23°, Mây cụm, 22°, 28°, 28°, 9 km, 0.44 km/giờ, 22 °C, 0, Tốt
11, Điện Biên, 2022-11-20, 00:00, 20°, Nhiều mây, 18°, 31°, 31°, 10 km, 1.22 km/giờ, 20 °C, 0, Tốt
12, Lai Châu, 2022-11-20, 00:00, 21°, Mây rải rác, 19°, 30°, 30°, 10 km, 0.73 km/giờ, 21 °C, 0, Tốt
13, Sơn La, 2022-11-20, 00:00, 19°, Nhiều mây, 17°, 28°, 28°, 10 km, 1.34 km/giờ, 19 °C, 0, Trung bình
14, Yên Bái, 2022-11-20, 00:00, 24°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.14 km/giờ, 22 °C, 0, Khá
15, Hoà Bình, 2022-11-20, 00:00, 23°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.83 km/giờ, 22 °C, 0, Kém
16, Hà Nội, 2022-11-20, 00:00, 25°, Mây thưa, 23°, 30°, 30°, 10 km, 2.06 km/giờ, 22 °C, 0, Kém
17, Vĩnh Phúc, 2022-11-20, 00:00, 25°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.53 km/giờ, 21 °C, 0, Kém
18, Bắc Ninh, 2022-11-20, 00:00, 25°, Nhiều mây, 22°, 31°, 31°, 10 km, 1.62 km/giờ, 20 °C, 0, Kém
19, Hải Dương, 2022-11-20, 00:00, 25°, Nhiều mây, 22°, 31°, 31°, 10 km, 0.36 km/giờ, 20 °C, 0, Kém
20, Hải Phòng, 2022-11-20, 00:00, 25°, Bầu trời quang đãng, 22°, 30°, 30°, 10 km, 1.54 km/giờ, 22 °C, 0, Kém
21, Hưng Yên, 2022-11-20, 00:00, 24°, Nhiều mây, 23°, 30°, 30°, 10 km, 0.43 km/giờ, 21 °C, 0, Kém
22, Thái Bình, 2022-11-20, 00:00, 25°, Nhiều mây, 24°, 29°, 29°, 10 km, 1.63 km/giờ, 21 °C, 0, Rất kém
23, Hà Nam, 2022-11-20, 00:00, 24°, Nhiều mây, 23°, 30°, 30°, 10 km, 0.62 km/giờ, 21 °C, 0, Rất kém
24, Nam Định, 2022-11-20, 00:00, 24°, Nhiều mây, 23°, 30°, 30°, 10 km, 0.96 km/giờ, 21 °C, 0, Rất kém
25, Ninh Bình, 2022-11-20, 00:00, 24°, Nhiều mây, 23°, 30°, 30°, 10 km, 1.32 km/giờ, 21 °C, 0, Rất kém
26, Thanh Hóa, 2022-11-20, 00:00, 23°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.77 km/giờ, 21 °C, 0, Rất kém
27, Nghệ An, 2022-11-20, 00:00, 23°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.7 km/giờ, 22 °C, 0, Khá
28, Hà Tĩnh, 2022-11-20, 00:00, 23°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.19 km/giờ, 22 °C, 0, Khá
29, Quảng Bình, 2022-11-20, 00:00, 23°, Nhiều mây, 23°, 27°, 27°, 10 km, 1.19 km/giờ, 22 °C, 0, Khá
30, Quảng Trị, 2022-11-20, 00:00, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.54 km/giờ, 22 °C, 0, Khá
31, Thừa Thiên Huế, 2022-11-20, 00:00, 26°, Mưa nhẹ, 23°, 26°, 26°, 10 km, 4.12 km/giờ, 23 °C, 0, Tốt
32, Đà Nẵng, 2022-11-20, 00:00, 27°, Mây rải rác, 24°, 27°, 27°, 10 km, 3.09 km/giờ, 24 °C, 0, Kém
33, Quảng Nam, 2022-11-20, 00:00, 23°, Nhiều mây, 23°, 24°, 24°, 10 km, 1.1 km/giờ, 22 °C, 0, Trung bình
34, Quảng Ngãi, 2022-11-20, 00:00, 23°, Nhiều mây, 23°, 25°, 25°, 10 km, 1.94 km/giờ, 22 °C, 0, Khá
