1, Hà Giang, 2022-11-20, 08:24, 21°, Nhiều mây, 21°, 27°, 27°, 10 km, 0.63 km/giờ, 21 °C, 0, Khá
2, Cao Bằng, 2022-11-20, 08:24, 20°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.6 km/giờ, 20 °C, 0.06, Kém
3, Bắc Kạn, 2022-11-20, 08:24, 21°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.76 km/giờ, 20 °C, 0.08, Kém
4, Tuyên Quang, 2022-11-20, 08:24, 22°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.82 km/giờ, 22 °C, 0.33, Khá
5, Thái Nguyên, 2022-11-20, 08:24, 23°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.37 km/giờ, 20 °C, 0, Kém
6, Lạng Sơn, 2022-11-20, 08:24, 21°, Nhiều mây, 19°, 28°, 28°, 10 km, 1.7 km/giờ, 18 °C, 0.51, Kém
7, Quảng Ninh, 2022-11-20, 08:24, 24°, Nhiều mây, 21°, 28°, 28°, 10 km, 1.04 km/giờ, 20 °C, 1.09, Kém
8, Bắc Giang, 2022-11-20, 08:24, 23°, Nhiều mây, 22°, 30°, 30°, 10 km, 3.09 km/giờ, 18 °C, 0, Kém
9, Phú Thọ, 2022-11-20, 08:24, 24°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.87 km/giờ, 21 °C, 0.69, Trung bình
10, Lào Cai, 2022-11-20, 08:24, 23°, Nhiều mây, 22°, 28°, 28°, 10 km, 0.49 km/giờ, 22 °C, 0, Tốt
11, Điện Biên, 2022-11-20, 08:24, 21°, Nhiều mây, 18°, 31°, 31°, 10 km, 0.96 km/giờ, 21 °C, 0.64, Tốt
12, Lai Châu, 2022-11-20, 08:24, 22°, Mây cụm, 19°, 29°, 29°, 10 km, 0.39 km/giờ, 21 °C, 0.54, Tốt
13, Sơn La, 2022-11-20, 08:24, 21°, Nhiều mây, 17°, 27°, 27°, 10 km, 1.3 km/giờ, 19 °C, 0, Khá
14, Yên Bái, 2022-11-20, 08:24, 23°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.85 km/giờ, 22 °C, 0, Khá
15, Hoà Bình, 2022-11-20, 08:24, 24°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.73 km/giờ, 21 °C, 0, Kém
16, Hà Nội, 2022-11-20, 08:24, 23°, Bầu trời quang đãng, 23°, 30°, 30°, 10 km, 3.6 km/giờ, 20 °C, 0, Kém
17, Vĩnh Phúc, 2022-11-20, 08:24, 23°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.87 km/giờ, 19 °C, 0, Kém
18, Bắc Ninh, 2022-11-20, 08:24, 23°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.95 km/giờ, 18 °C, 0.89, Kém
19, Hải Dương, 2022-11-20, 08:24, 26°, Nhiều mây, 22°, 31°, 31°, 10 km, 2.14 km/giờ, 20 °C, 0.99, Kém
20, Hải Phòng, 2022-11-20, 08:24, 26°, Mây thưa, 22°, 30°, 30°, 10 km, 2.06 km/giờ, 21 °C, 1.04, Kém
21, Hưng Yên, 2022-11-20, 08:24, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 2.1 km/giờ, 20 °C, 0, Rất kém
22, Thái Bình, 2022-11-20, 08:24, 25°, Nhiều mây, 24°, 29°, 29°, 10 km, 4 km/giờ, 20 °C, 0, Rất kém
23, Hà Nam, 2022-11-20, 08:24, 25°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.94 km/giờ, 20 °C, 0, Rất kém
24, Nam Định, 2022-11-20, 08:24, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 3.03 km/giờ, 20 °C, 1, Rất kém
25, Ninh Bình, 2022-11-20, 08:24, 25°, Nhiều mây, 23°, 29°, 29°, 10 km, 3.42 km/giờ, 20 °C, 0.9, Rất kém
26, Thanh Hóa, 2022-11-20, 08:24, 25°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.76 km/giờ, 21 °C, 0.82, Rất kém
27, Nghệ An, 2022-11-20, 08:24, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 3.4 km/giờ, 22 °C, 0, Rất kém
