1,Hà Nội,2022-11-20,00:00,25,Mây thưa,23,30,0.83,10.0,7.42,22,0.0,Kém
2,Hà Giang,2022-11-20,00:00,21,Mây đen u ám,21,26,0.98,10.0,1.51,21,0.0,Khá
3,Cao Bằng,2022-11-20,00:00,20,Mây đen u ám,19,28,0.94,10.0,2.63,19,0.0,Kém
4,Bắc Kạn,2022-11-20,00:00,21,Mây đen u ám,19,29,0.99,10.0,3.46,21,0.0,Trung bình
5,Tuyên Quang,2022-11-20,00:00,22,Mây đen u ám,20,29,0.99,10.0,1.58,22,0.0,Khá
6,Lào Cai,2022-11-20,00:00,23,Mây cụm,22,28,0.99,9.0,1.58,22,0.0,Tốt
7,Điện Biên,2022-11-20,00:00,20,Mây đen u ám,18,31,0.99,10.0,4.39,20,0.0,Tốt
8,Lai Châu,2022-11-20,00:00,21,Mây rải rác,19,30,0.98,10.0,3.28,21,0.0,Tốt
9,Sơn La,2022-11-20,00:00,19,Mây đen u ám,17,28,0.98,10.0,4.82,19,0.0,Trung bình
10,Yên Bái,2022-11-20,00:00,24,Mây đen u ám,21,29,0.89,10.0,4.1,22,0.0,Khá
11,Hoà Bình,2022-11-20,00:00,23,Mây đen u ám,21,29,0.9,10.0,2.99,22,0.0,Kém
12,Thái Nguyên,2022-11-20,00:00,25,Mây đen u ám,21,30,0.9,10.0,6.41,23,0.0,Kém
13,Lạng Sơn,2022-11-20,00:00,20,Mây đen u ám,19,29,0.93,10.0,6.34,19,0.0,Kém
14,Quảng Ninh,2022-11-20,00:00,22,Mây đen u ám,21,29,0.84,10.0,2.92,19,0.0,Kém
15,Bắc Giang,2022-11-20,00:00,25,Mây đen u ám,22,31,0.76,10.0,8.89,20,0.0,Kém
16,Phú Thọ,2022-11-20,00:00,24,Mây đen u ám,21,30,0.84,10.0,4.36,21,0.0,Trung bình
17,Vĩnh Phúc,2022-11-20,00:00,25,Mây đen u ám,22,30,0.78,10.0,5.51,21,0.0,Kém
18,Bắc Ninh,2022-11-20,00:00,25,Mây đen u ám,22,31,0.72,10.0,5.83,20,0.0,Kém
19,Hải Dương,2022-11-20,00:00,25,Mây đen u ám,22,31,0.72,10.0,1.3,20,0.0,Kém
20,Hải Phòng,2022-11-20,00:00,25,Bầu trời quang đãng,22,30,0.83,10.0,5.54,22,0.0,Kém
21,Hưng Yên,2022-11-20,00:00,24,Mây đen u ám,23,30,0.82,10.0,1.55,21,0.0,Kém
