1, Hà Giang, 2022-11-19, 01:04, 22°, Mây cụm, 20°, 27°, 27°, 10 km, 0.51 km/giờ, 22 °C, 0, Kém
2, Cao Bằng, 2022-11-19, 01:04, 23°, Nhiều mây, 20°, 28°, 28°, 10 km, 1.25 km/giờ, 22 °C, 0, Kém
3, Bắc Kạn, 2022-11-19, 01:04, 23°, Nhiều mây, 20°, 28°, 28°, 10 km, 0.94 km/giờ, 23 °C, 0, Rất kém
4, Tuyên Quang, 2022-11-19, 01:04, 24°, Mây cụm, 21°, 28°, 28°, 10 km, 0.68 km/giờ, 22 °C, 0, Rất kém
5, Thái Nguyên, 2022-11-19, 01:04, 26°, Nhiều mây, 20°, 30°, 30°, 10 km, 1.61 km/giờ, 24 °C, 0, Kém
6, Lạng Sơn, 2022-11-19, 01:04, 23°, Nhiều mây, 18°, 29°, 29°, 10 km, 1.16 km/giờ, 20 °C, 0, Trung bình
7, Quảng Ninh, 2022-11-19, 01:04, 22°, Bầu trời quang đãng, 20°, 29°, 29°, 10 km, 0.75 km/giờ, 21 °C, 0, Trung bình
8, Bắc Giang, 2022-11-19, 01:04, 26°, Nhiều mây, 21°, 31°, 31°, 10 km, 2.17 km/giờ, 22 °C, 0, Rất kém
9, Phú Thọ, 2022-11-19, 01:04, 24°, Mây cụm, 22°, 30°, 30°, 10 km, 1.7 km/giờ, 22 °C, 0, Rất kém
10, Lào Cai, 2022-11-19, 01:04, 23°, Mây cụm, 22°, 29°, 29°, 10 km, 0.29 km/giờ, 22 °C, 0, Khá
11, Điện Biên, 2022-11-19, 01:04, 20°, Mây rải rác, 19°, 30°, 30°, 10 km, 0.72 km/giờ, 20 °C, 0, Khá
12, Lai Châu, 2022-11-19, 01:04, 21°, Mây cụm, 20°, 30°, 30°, 10 km, 0.8 km/giờ, 21 °C, 0, Tốt
13, Sơn La, 2022-11-19, 01:04, 19°, Mây thưa, 18°, 27°, 27°, 10 km, 0.95 km/giờ, 19 °C, 0, Khá
