1, Hà Giang, 2022-11-19, 22:52, 21°, Nhiều mây, 21°, 26°, 26°, 10 km, 0.33 km/giờ, 21 °C, 0, Khá
2, Cao Bằng, 2022-11-19, 22:52, 21°, Nhiều mây, 19°, 28°, 28°, 10 km, 0.72 km/giờ, 20 °C, 0, Trung bình
3, Bắc Kạn, 2022-11-19, 22:52, 22°, Nhiều mây, 19°, 29°, 29°, 10 km, 0.91 km/giờ, 21 °C, 0, Khá
4, Tuyên Quang, 2022-11-19, 22:52, 22°, Nhiều mây, 20°, 29°, 29°, 10 km, 0.43 km/giờ, 22 °C, 0, Khá
5, Thái Nguyên, 2022-11-19, 22:52, 26°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.5 km/giờ, 24 °C, 0, Kém
6, Lạng Sơn, 2022-11-19, 22:52, 20°, Nhiều mây, 19°, 29°, 29°, 10 km, 1.98 km/giờ, 19 °C, 0, Kém
7, Quảng Ninh, 2022-11-19, 22:52, 22°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.08 km/giờ, 19 °C, 0, Kém
8, Bắc Giang, 2022-11-19, 22:52, 26°, Nhiều mây, 22°, 31°, 31°, 10 km, 1.89 km/giờ, 20 °C, 0, Kém
9, Phú Thọ, 2022-11-19, 22:52, 24°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.67 km/giờ, 21 °C, 0, Trung bình
10, Lào Cai, 2022-11-19, 22:52, 23°, Mây cụm, 22°, 28°, 28°, 10 km, 0.37 km/giờ, 22 °C, 0, Tốt
11, Điện Biên, 2022-11-19, 22:52, 20°, Mây cụm, 18°, 31°, 31°, 10 km, 1.16 km/giờ, 20 °C, 0, Tốt
12, Lai Châu, 2022-11-19, 22:52, 21°, Mây rải rác, 19°, 30°, 30°, 10 km, 0.91 km/giờ, 21 °C, 0, Tốt
13, Sơn La, 2022-11-19, 22:52, 19°, Nhiều mây, 17°, 28°, 28°, 10 km, 1.46 km/giờ, 19 °C, 0, Trung bình
14, Yên Bái, 2022-11-19, 22:52, 24°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.31 km/giờ, 22 °C, 0, Khá
15, Hoà Bình, 2022-11-19, 22:52, 24°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.18 km/giờ, 22 °C, 0, Kém
16, Hà Nội, 2022-11-19, 22:52, 26°, Bầu trời quang đãng, 23°, 30°, 30°, 10 km, 1.54 km/giờ, 22 °C, 0, Kém
17, Vĩnh Phúc, 2022-11-19, 22:52, 26°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.68 km/giờ, 22 °C, 0, Kém
18, Bắc Ninh, 2022-11-19, 22:52, 26°, Nhiều mây, 22°, 31°, 31°, 10 km, 0.77 km/giờ, 20 °C, 0, Kém
19, Hải Dương, 2022-11-19, 22:52, 25°, Nhiều mây, 22°, 31°, 31°, 10 km, 0.42 km/giờ, 19 °C, 0, Kém
20, Hải Phòng, 2022-11-19, 22:52, 25°, Bầu trời quang đãng, 22°, 30°, 30°, 10 km, 3.09 km/giờ, 22 °C, 0, Kém
21, Hưng Yên, 2022-11-19, 22:52, 24°, Nhiều mây, 23°, 30°, 30°, 10 km, 0.79 km/giờ, 21 °C, 0, Kém
