1, Hà Giang, 2022-11-19, 07:21, 22°, Nhiều mây, 20°, 27°, 27°, 10 km, 0.29 km/giờ, 21 °C, 0.09, Kém
2, Cao Bằng, 2022-11-19, 07:21, 23°, Nhiều mây, 19°, 28°, 28°, 10 km, 0.98 km/giờ, 22 °C, 0.12, Kém
3, Bắc Kạn, 2022-11-19, 07:21, 22°, Nhiều mây, 20°, 28°, 28°, 10 km, 0.09 km/giờ, 22 °C, 0, Khá
4, Tuyên Quang, 2022-11-19, 07:21, 22°, Nhiều mây, 20°, 28°, 28°, 10 km, 0.54 km/giờ, 22 °C, 0.01, Rất kém
5, Thái Nguyên, 2022-11-19, 07:21, 25°, Nhiều mây, 20°, 30°, 30°, 10 km, 0.44 km/giờ, 23 °C, 0, Kém
6, Lạng Sơn, 2022-11-19, 07:21, 23°, Nhiều mây, 18°, 30°, 30°, 10 km, 0.89 km/giờ, 20 °C, 0.12, Trung bình
7, Quảng Ninh, 2022-11-19, 07:21, 23°, Mây thưa, 20°, 29°, 29°, 10 km, 1.56 km/giờ, 21 °C, 0.19, Kém
8, Bắc Giang, 2022-11-19, 07:21, 25°, Nhiều mây, 21°, 30°, 30°, 10 km, 0.83 km/giờ, 20 °C, 0.17, Rất kém
9, Phú Thọ, 2022-11-19, 07:21, 24°, Mây cụm, 21°, 29°, 29°, 10 km, 1.02 km/giờ, 22 °C, 0, Rất kém
10, Lào Cai, 2022-11-19, 07:21, 23°, Nhiều mây, 22°, 28°, 28°, 8.79 km, 0.35 km/giờ, 23 °C, 0, Tốt
11, Điện Biên, 2022-11-19, 07:21, 20°, Mây cụm, 18°, 29°, 29°, 10 km, 0.76 km/giờ, 20 °C, 0, Khá
12, Lai Châu, 2022-11-19, 07:21, 22°, Nhiều mây, 19°, 29°, 29°, 10 km, 0.41 km/giờ, 21 °C, 0, Tốt
13, Sơn La, 2022-11-19, 07:21, 20°, Mây cụm, 18°, 26°, 26°, 10 km, 0.48 km/giờ, 20 °C, 0, Khá
14, Yên Bái, 2022-11-19, 07:21, 23°, Mây cụm, 21°, 28°, 28°, 10 km, 1.03 km/giờ, 22 °C, 0, Rất kém
15, Hoà Bình, 2022-11-19, 07:21, 24°, Mây cụm, 21°, 28°, 28°, 10 km, 0.89 km/giờ, 23 °C, 0.11, Kém
16, Hà Nội, 2022-11-19, 07:21, 25°, Mây rải rác, 22°, 30°, 30°, 6 km, 2.06 km/giờ, 23 °C, 0, Rất kém
17, Vĩnh Phúc, 2022-11-19, 07:21, 25°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.7 km/giờ, 23 °C, 0.14, Rất kém
18, Bắc Ninh, 2022-11-19, 07:21, 25°, Nhiều mây, 22°, 30°, 30°, 10 km, 1.6 km/giờ, 21 °C, 0.17, Rất kém
19, Hải Dương, 2022-11-19, 07:21, 25°, Mây cụm, 22°, 30°, 30°, 10 km, 3.11 km/giờ, 22 °C, 0.12, Rất kém
20, Hải Phòng, 2022-11-19, 07:21, 25°, Mây thưa, 22°, 30°, 30°, 10 km, 1.54 km/giờ, 23 °C, 0.2, Kém
21, Hưng Yên, 2022-11-19, 07:21, 24°, Mây cụm, 22°, 30°, 30°, 10 km, 2.16 km/giờ, 22 °C, 0.12, Rất kém
22, Thái Bình, 2022-11-19, 07:21, 25°, Mây rải rác, 23°, 29°, 29°, 10 km, 4.52 km/giờ, 22 °C, 0.19, Rất kém
23, Hà Nam, 2022-11-19, 07:21, 24°, Mây cụm, 22°, 30°, 30°, 10 km, 1.67 km/giờ, 22 °C, 0.07, Rất kém
24, Nam Định, 2022-11-19, 07:21, 25°, Mây rải rác, 23°, 30°, 30°, 10 km, 3.13 km/giờ, 22 °C, 0.19, Rất kém
25, Ninh Bình, 2022-11-19, 07:21, 25°, Mây cụm, 23°, 29°, 29°, 10 km, 1.72 km/giờ, 22 °C, 0.16, Rất kém
26, Thanh Hóa, 2022-11-19, 07:21, 24°, Mây cụm, 22°, 28°, 28°, 10 km, 1.21 km/giờ, 22 °C, 0.17, Rất kém
27, Nghệ An, 2022-11-19, 07:21, 24°, Nhiều mây, 23°, 28°, 28°, 10 km, 0.97 km/giờ, 22 °C, 0, Kém
28, Hà Tĩnh, 2022-11-19, 07:21, 24°, Nhiều mây, 23°, 28°, 28°, 10 km, 1.09 km/giờ, 22 °C, 0.17, Kém
29, Quảng Bình, 2022-11-19, 07:21, 24°, Nhiều mây, 22°, 27°, 27°, 10 km, 0.46 km/giờ, 23 °C, 0, Tốt
30, Quảng Trị, 2022-11-19, 07:21, 23°, Nhiều mây, 23°, 29°, 29°, 10 km, 0.69 km/giờ, 22 °C, 0.21, Tốt
31, Thừa Thiên Huế, 2022-11-19, 07:21, 24°, Mây rải rác, 23°, 29°, 29°, 8 km, 0.51 km/giờ, 23 °C, 0.17, Khá
32, Đà Nẵng, 2022-11-19, 07:21, 26°, Mây rải rác, 24°, 27°, 27°, 8 km, 0.51 km/giờ, 23 °C, 0, Khá
33, Quảng Nam, 2022-11-19, 07:21, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 3.05 km/giờ, 22 °C, 0.33, Khá
34, Quảng Ngãi, 2022-11-19, 07:21, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 3.03 km/giờ, 22 °C, 0.15, Tốt
35, Bình Định, 2022-11-19, 07:21, 24°, Mưa vừa, 23°, 26°, 26°, 9.41 km, 4.97 km/giờ, 22 °C, 0.42, Tốt
36, Phú Yên, 2022-11-19, 07:21, 21°, Mưa vừa, 21°, 23°, 23°, 6.43 km, 1.27 km/giờ, 21 °C, 0.24, Tốt
37, Khánh Hòa, 2022-11-19, 07:21, 23°, Mưa rất nặng, 22°, 23°, 23°, 10 km, 2.53 km/giờ, 22 °C, 0, Khá
38, Ninh Thuận, 2022-11-19, 07:21, 24°, Mưa cường độ nặng, 22°, 24°, 24°, 10 km, 2.88 km/giờ, 22 °C, 0, Tốt
39, Bình Thuận, 2022-11-19, 07:21, 23°, Mưa nhẹ, 21°, 26°, 26°, 10 km, 0.91 km/giờ, 20 °C, 0.24, Tốt
40, Kon Tum, 2022-11-19, 07:21, 21°, Nhiều mây, 19°, 27°, 27°, 10 km, 1.37 km/giờ, 18 °C, 0.35, Tốt
41, Gia Lai, 2022-11-19, 07:21, 21°, Nhiều mây, 19°, 25°, 25°, 10 km, 1.51 km/giờ, 20 °C, 0.41, Tốt
42, Đắk Lắk, 2022-11-19, 07:21, 21°, Nhiều mây, 19°, 21°, 21°, 10 km, 1.91 km/giờ, 19 °C, 0, Tốt
43, Đắk Nông, 2022-11-19, 07:21, 21°, Nhiều mây, 19°, 21°, 21°, 10 km, 1.91 km/giờ, 19 °C, 0, Tốt
44, Lâm Đồng, 2022-11-19, 07:21, 19°, Nhiều mây, 18°, 20°, 20°, 10 km, 1.83 km/giờ, 17 °C, 0, Tốt
45, Bình Phước, 2022-11-19, 07:21, 21°, Nhiều mây, 20°, 26°, 26°, 10 km, 0.94 km/giờ, 20 °C, 0, Tốt
46, Tây Ninh, 2022-11-19, 07:21, 25°, Mưa nhẹ, 22°, 28°, 28°, 10 km, 2.15 km/giờ, 23 °C, 0.07, Trung bình
47, Bình Dương, 2022-11-19, 07:21, 25°, Mưa vừa, 22°, 27°, 27°, 7 km, 1.54 km/giờ, 25 °C, 0.11, Rất kém
48, Đồng Nai, 2022-11-19, 07:21, 25°, Mưa nhẹ, 22°, 26°, 26°, 10 km, 1.55 km/giờ, 24 °C, 0, Kém
49, Bà Rịa - Vũng Tàu, 2022-11-19, 07:21, 24°, Mưa nhẹ, 22°, 24°, 24°, 10 km, 0.76 km/giờ, 23 °C, 0.28, Rất kém
50, Hồ Chí Minh, 2022-11-19, 07:21, 25°, Mưa nhẹ, 22°, 27°, 27°, 7 km, 1.54 km/giờ, 25 °C, 0.11, Rất kém
51, Long An, 2022-11-19, 07:21, 23°, Mưa cường độ nặng, 22°, 28°, 28°, 10 km, 0.53 km/giờ, 23 °C, 0.15, Rất kém
52, Tiền Giang, 2022-11-19, 07:21, 23°, Mưa cường độ nặng, 21°, 26°, 26°, 10 km, 1 km/giờ, 22 °C, 0.19, Rất kém
53, Bến Tre, 2022-11-19, 07:21, 23°, Nhiều mây, 21°, 25°, 25°, 10 km, 1.75 km/giờ, 23 °C, 0, Rất kém
54, Trà Vinh, 2022-11-19, 07:21, 24°, Nhiều mây, 21°, 26°, 26°, 10 km, 2.85 km/giờ, 23 °C, 0.08, Kém
55, Vĩnh Long, 2022-11-19, 07:21, 23°, Nhiều mây, 21°, 27°, 27°, 10 km, 3.41 km/giờ, 22 °C, 0, Rất kém
56, Đồng Tháp, 2022-11-19, 07:21, 23°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.8 km/giờ, 21 °C, 0, Rất kém
57, An Giang, 2022-11-19, 07:21, 23°, Nhiều mây, 22°, 28°, 28°, 10 km, 1.45 km/giờ, 21 °C, 0.14, Rất kém
58, Kiên Giang, 2022-11-19, 07:21, 25°, Nhiều mây, 22°, 27°, 27°, 10 km, 2.6 km/giờ, 23 °C, 0.16, Kém
59, Cần Thơ, 2022-11-19, 07:21, 23°, Mây cụm, 21°, 26°, 26°, 8 km, 1.03 km/giờ, 23 °C, 0.1, Rất kém
60, Hậu Giang, 2022-11-19, 07:21, 23°, Nhiều mây, 22°, 26°, 26°, 10 km, 2.36 km/giờ, 22 °C, 0, Kém
61, Sóc Trăng, 2022-11-19, 07:21, 24°, Nhiều mây, 22°, 25°, 25°, 10 km, 4.69 km/giờ, 22 °C, 0.09, Kém
62, Bạc Liêu, 2022-11-19, 07:21, 26°, Nhiều mây, 22°, 26°, 26°, 10 km, 7.03 km/giờ, 22 °C, 0.05, Kém
63, Cà Mau, 2022-11-19, 07:21, 24°, Nhiều mây, 22°, 27°, 27°, 10 km, 1.99 km/giờ, 23 °C, 0.07, Khá
