1, Hà Giang, 2022-11-19, 20:03, 21°, Mây cụm, 21°, 26°, 26°, 10 km, 0.19 km/giờ, 21 °C, 0, Khá
2, Cao Bằng, 2022-11-19, 20:03, 21°, Nhiều mây, 19°, 28°, 28°, 10 km, 1.2 km/giờ, 20 °C, 0, Khá
3, Bắc Kạn, 2022-11-19, 20:03, 22°, Nhiều mây, 19°, 29°, 29°, 10 km, 1.32 km/giờ, 22 °C, 0, Khá
4, Tuyên Quang, 2022-11-19, 20:03, 22°, Mây cụm, 20°, 29°, 29°, 10 km, 1 km/giờ, 21 °C, 0, Khá
5, Thái Nguyên, 2022-11-19, 20:03, 27°, Nhiều mây, 21°, 30°, 30°, 10 km, 1 km/giờ, 24 °C, 0, Trung bình
6, Lạng Sơn, 2022-11-19, 20:03, 21°, Nhiều mây, 19°, 29°, 29°, 10 km, 2.03 km/giờ, 20 °C, 0, Kém
7, Quảng Ninh, 2022-11-19, 20:03, 23°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.61 km/giờ, 19 °C, 0, Kém
8, Bắc Giang, 2022-11-19, 20:03, 27°, Nhiều mây, 22°, 31°, 31°, 10 km, 1.74 km/giờ, 21 °C, 0, Kém
9, Phú Thọ, 2022-11-19, 20:03, 25°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.29 km/giờ, 22 °C, 0, Khá
10, Lào Cai, 2022-11-19, 20:03, 23°, Mây cụm, 22°, 28°, 28°, 10 km, 0.65 km/giờ, 22 °C, 0, Tốt
11, Điện Biên, 2022-11-19, 20:03, 21°, Nhiều mây, 18°, 31°, 31°, 10 km, 0.98 km/giờ, 20 °C, 0, Tốt
12, Lai Châu, 2022-11-19, 20:03, 22°, Bầu trời quang đãng, 19°, 30°, 30°, 10 km, 1.12 km/giờ, 21 °C, 0, Tốt
13, Sơn La, 2022-11-19, 20:03, 20°, Nhiều mây, 17°, 28°, 28°, 10 km, 1.53 km/giờ, 20 °C, 0, Tốt
14, Yên Bái, 2022-11-19, 20:03, 23°, Nhiều mây, 21°, 29°, 29°, 10 km, 0.22 km/giờ, 22 °C, 0, Khá
15, Hoà Bình, 2022-11-19, 20:03, 24°, Nhiều mây, 21°, 29°, 29°, 10 km, 1.89 km/giờ, 22 °C, 0, Rất kém
16, Hà Nội, 2022-11-19, 20:03, 27°, Mây cụm, 23°, 30°, 30°, 10 km, 3.6 km/giờ, 22 °C, 0, Kém
17, Vĩnh Phúc, 2022-11-19, 20:03, 27°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.76 km/giờ, 22 °C, 0, Trung bình
18, Bắc Ninh, 2022-11-19, 20:03, 27°, Nhiều mây, 22°, 31°, 31°, 10 km, 3.06 km/giờ, 20 °C, 0, Kém
19, Hải Dương, 2022-11-19, 20:03, 26°, Nhiều mây, 22°, 31°, 31°, 10 km, 2.7 km/giờ, 20 °C, 0, Kém
20, Hải Phòng, 2022-11-19, 20:03, 26°, Bầu trời quang đãng, 22°, 30°, 30°, 10 km, 3.09 km/giờ, 21 °C, 0, Kém
21, Hưng Yên, 2022-11-19, 20:03, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 1.67 km/giờ, 20 °C, 0, Kém
22, Thái Bình, 2022-11-19, 20:03, 25°, Nhiều mây, 24°, 29°, 29°, 10 km, 2.14 km/giờ, 21 °C, 0, Rất kém
23, Hà Nam, 2022-11-19, 20:03, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 1.59 km/giờ, 21 °C, 0, Kém
24, Nam Định, 2022-11-19, 20:03, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 1.54 km/giờ, 21 °C, 0, Kém
25, Ninh Bình, 2022-11-19, 20:03, 25°, Nhiều mây, 23°, 30°, 30°, 10 km, 1.17 km/giờ, 21 °C, 0, Kém
26, Thanh Hóa, 2022-11-19, 20:03, 24°, Nhiều mây, 22°, 29°, 29°, 10 km, 1.18 km/giờ, 22 °C, 0, Kém
27, Nghệ An, 2022-11-19, 20:03, 25°, Nhiều mây, 22°, 28°, 28°, 10 km, 2.16 km/giờ, 22 °C, 0, Kém
28, Hà Tĩnh, 2022-11-19, 20:03, 24°, Nhiều mây, 23°, 27°, 27°, 10 km, 2.18 km/giờ, 22 °C, 0, Khá
29, Quảng Bình, 2022-11-19, 20:03, 23°, Nhiều mây, 23°, 27°, 27°, 10 km, 1.43 km/giờ, 22 °C, 0, Kém
30, Quảng Trị, 2022-11-19, 20:03, 24°, Nhiều mây, 24°, 27°, 27°, 10 km, 2.24 km/giờ, 22 °C, 0, Khá
31, Thừa Thiên Huế, 2022-11-19, 20:03, 27°, Mây cụm, 23°, 26°, 26°, 10 km, 5.14 km/giờ, 25 °C, 0, Khá
32, Đà Nẵng, 2022-11-19, 20:03, 27°, Mây rải rác, 24°, 27°, 27°, 10 km, 2.57 km/giờ, 24 °C, 0, Trung bình
33, Quảng Nam, 2022-11-19, 20:03, 24°, Nhiều mây, 23°, 24°, 24°, 10 km, 1.58 km/giờ, 22 °C, 0, Khá
34, Quảng Ngãi, 2022-11-19, 20:03, 24°, Nhiều mây, 23°, 25°, 25°, 10 km, 2.24 km/giờ, 22 °C, 0, Khá
35, Bình Định, 2022-11-19, 20:03, 24°, Nhiều mây, 23°, 27°, 27°, 6.93 km, 5.19 km/giờ, 22 °C, 0, Tốt
