1, Hà Giang, 2022-11-19, 09:03, 22°, Nhiều mây, 20°, 27°, 27°, 10 km, 0.84 km/giờ, 22 °C, 0, Kém
2, Cao Bằng, 2022-11-19, 09:03, 24°, Nhiều mây, 19°, 28°, 28°, 10 km, 1.13 km/giờ, 22 °C, 0.54, Khá
3, Bắc Kạn, 2022-11-19, 09:03, 24°, Nhiều mây, 20°, 28°, 28°, 10 km, 0.07 km/giờ, 22 °C, 0.26, Khá
4, Tuyên Quang, 2022-11-19, 09:03, 23°, Nhiều mây, 20°, 28°, 28°, 10 km, 0.53 km/giờ, 23 °C, 0, Kém
5, Thái Nguyên, 2022-11-19, 09:03, 26°, Mây cụm, 20°, 30°, 30°, 10 km, 1.3 km/giờ, 21 °C, 1.73, Kém
6, Lạng Sơn, 2022-11-19, 09:03, 24°, Nhiều mây, 18°, 30°, 30°, 10 km, 1.2 km/giờ, 20 °C, 2.01, Khá
7, Quảng Ninh, 2022-11-19, 09:03, 27°, Bầu trời quang đãng, 20°, 29°, 29°, 10 km, 2.84 km/giờ, 20 °C, 0, Kém
8, Bắc Giang, 2022-11-19, 09:03, 26°, Nhiều mây, 21°, 30°, 30°, 10 km, 1.21 km/giờ, 20 °C, 0, Kém
9, Phú Thọ, 2022-11-19, 09:03, 25°, Nhiều mây, 21°, 29°, 29°, 10 km, 2.22 km/giờ, 22 °C, 0.68, Rất kém
10, Lào Cai, 2022-11-19, 09:03, 24°, Nhiều mây, 22°, 28°, 28°, 10 km, 0.56 km/giờ, 23 °C, 0, Tốt
11, Điện Biên, 2022-11-19, 09:03, 22°, Nhiều mây, 18°, 29°, 29°, 10 km, 0.72 km/giờ, 21 °C, 0, Tốt
12, Lai Châu, 2022-11-19, 09:03, 25°, Mây cụm, 19°, 29°, 29°, 10 km, 0.2 km/giờ, 22 °C, 1.67, Tốt
13, Sơn La, 2022-11-19, 09:03, 22°, Nhiều mây, 17°, 26°, 26°, 10 km, 0.89 km/giờ, 21 °C, 1.28, Khá
14, Yên Bái, 2022-11-19, 09:03, 24°, Nhiều mây, 21°, 28°, 28°, 8.88 km, 1.01 km/giờ, 23 °C, 0.22, Rất kém
15, Hoà Bình, 2022-11-19, 09:03, 26°, Mây cụm, 21°, 28°, 28°, 10 km, 1.46 km/giờ, 23 °C, 2.11, Kém
16, Hà Nội, 2022-11-19, 09:03, 26°, Mây cụm, 22°, 30°, 30°, 8 km, 3.09 km/giờ, 23 °C, 2.54, Rất kém
17, Vĩnh Phúc, 2022-11-19, 09:03, 26°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.76 km/giờ, 22 °C, 0, Rất kém
18, Bắc Ninh, 2022-11-19, 09:03, 26°, Nhiều mây, 22°, 30°, 30°, 10 km, 2.43 km/giờ, 20 °C, 0, Rất kém
19, Hải Dương, 2022-11-19, 09:03, 26°, Mây cụm, 22°, 30°, 30°, 10 km, 4.32 km/giờ, 19 °C, 0, Kém
20, Hải Phòng, 2022-11-19, 09:03, 27°, Mây thưa, 22°, 30°, 30°, 10 km, 4.12 km/giờ, 23 °C, 0, Kém
21, Hưng Yên, 2022-11-19, 09:03, 28°, Mây cụm, 22°, 30°, 30°, 10 km, 4.04 km/giờ, 21 °C, 0, Rất kém
22, Thái Bình, 2022-11-19, 09:03, 28°, Mây rải rác, 23°, 29°, 29°, 10 km, 5.9 km/giờ, 21 °C, 0, Kém
23, Hà Nam, 2022-11-19, 09:03, 27°, Mây cụm, 22°, 30°, 30°, 10 km, 3.59 km/giờ, 22 °C, 0, Rất kém
24, Nam Định, 2022-11-19, 09:03, 28°, Mây rải rác, 23°, 30°, 30°, 10 km, 4.99 km/giờ, 21 °C, 2.42, Rất kém
25, Ninh Bình, 2022-11-19, 09:03, 27°, Mây rải rác, 23°, 29°, 29°, 10 km, 4.06 km/giờ, 22 °C, 0, Rất kém
