1, Hà Giang, 2022-11-19, 12:05, 23, Nhiều mây, 20, 27, 0.95, 10.0, 1.12, 22, 0.0, Khá
2, Cao Bằng, 2022-11-19, 12:05, 23, Nhiều mây, 19, 28, 0.92, 10.0, 1.17, 22, 2.93, Khá
3, Bắc Kạn, 2022-11-19, 12:05, 26, Mây cụm, 20, 28, 0.86, 8.24, 0.47, 23, 0.0, Khá
4, Tuyên Quang, 2022-11-19, 12:05, 25, Nhiều mây, 20, 28, 0.89, 10.0, 0.53, 23, 0.0, Khá
5, Thái Nguyên, 2022-11-19, 12:05, 28, Mây cụm, 20, 30, 0.63, 10.0, 1.76, 20, 0.0, Kém
6, Lạng Sơn, 2022-11-19, 12:05, 28, Nhiều mây, 18, 30, 0.61, 10.0, 1.72, 20, 0.0, Trung bình
7, Quảng Ninh, 2022-11-19, 12:05, 29, Mây thưa, 20, 29, 0.56, 10.0, 4.21, 19, 6.2, Khá
8, Bắc Giang, 2022-11-19, 12:05, 28, Nhiều mây, 21, 30, 0.6, 10.0, 2.44, 20, 0.0, Kém
9, Phú Thọ, 2022-11-19, 12:05, 29, Nhiều mây, 21, 29, 0.67, 10.0, 3.08, 22, 5.35, Rất kém
10, Lào Cai, 2022-11-19, 12:05, 25, Nhiều mây, 22, 28, 0.89, 10.0, 1.32, 23, 7.16, Khá
11, Điện Biên, 2022-11-19, 12:05, 28, Mây cụm, 18, 29, 0.61, 10.0, 1.05, 20, 7.13, Tốt
12, Lai Châu, 2022-11-19, 12:05, 29, Mây cụm, 19, 29, 0.67, 10.0, 0.91, 22, 7.2, Tốt
13, Sơn La, 2022-11-19, 12:05, 26, Nhiều mây, 17, 26, 0.69, 10.0, 0.8, 20, 0.0, Tốt
14, Yên Bái, 2022-11-19, 12:05, 26, Nhiều mây, 21, 28, 0.8, 10.0, 1.32, 23, 0.0, Kém
15, Hoà Bình, 2022-11-19, 12:05, 28, Mây cụm, 21, 28, 0.74, 10.0, 2.14, 23, 0.0, Rất kém
16, Hà Nội, 2022-11-19, 12:05, 28, Mây cụm, 22, 30, 0.74, 10.0, 3.6, 23, 7.1, Kém
17, Vĩnh Phúc, 2022-11-19, 12:05, 28, Nhiều mây, 22, 30, 0.63, 10.0, 2.8, 20, 0.0, Rất kém
18, Bắc Ninh, 2022-11-19, 12:05, 28, Nhiều mây, 22, 30, 0.58, 10.0, 2.59, 19, 0.0, Kém
19, Hải Dương, 2022-11-19, 12:05, 30, Mây cụm, 22, 30, 0.51, 10.0, 2.92, 19, 0.0, Kém
20, Hải Phòng, 2022-11-19, 12:05, 30, Mây thưa, 22, 30, 0.58, 10.0, 3.6, 21, 5.99, Trung bình
21, Hưng Yên, 2022-11-19, 12:05, 30, Mây cụm, 22, 30, 0.52, 10.0, 4.31, 19, 0.0, Kém
22, Thái Bình, 2022-11-19, 12:05, 29, Mây cụm, 23, 29, 0.62, 10.0, 6.2, 21, 0.0, Kém
23, Hà Nam, 2022-11-19, 12:05, 30, Nhiều mây, 22, 30, 0.55, 10.0, 4.04, 20, 0.0, Kém
24, Nam Định, 2022-11-19, 12:05, 29, Mây cụm, 23, 30, 0.59, 10.0, 5.57, 20, 0.0, Kém
25, Ninh Bình, 2022-11-19, 12:05, 29, Mây cụm, 23, 29, 0.62, 10.0, 5.16, 21, 5.31, Kém
26, Thanh Hóa, 2022-11-19, 12:05, 28, Nhiều mây, 22, 28, 0.71, 10.0, 5.09, 22, 5.6, Kém
27, Nghệ An, 2022-11-19, 12:05, 28, Nhiều mây, 23, 28, 0.72, 10.0, 4.14, 22, 0.0, Kém
28, Hà Tĩnh, 2022-11-19, 12:05, 28, Nhiều mây, 23, 28, 0.73, 10.0, 3.77, 23, 0.0, Kém
29, Quảng Bình, 2022-11-19, 12:05, 27, Nhiều mây, 22, 27, 0.77, 10.0, 2.52, 23, 6.49, Kém
30, Quảng Trị, 2022-11-19, 12:05, 29, Nhiều mây, 23, 29, 0.61, 10.0, 3.52, 21, 0.0, Trung bình
31, Thừa Thiên Huế, 2022-11-19, 12:05, 28, Mây cụm, 23, 28, 0.78, 10.0, 4.12, 24, 0.0, Khá
32, Đà Nẵng, 2022-11-19, 12:05, 28, Mây cụm, 24, 28, 0.78, 10.0, 5.66, 24, 0.0, Trung bình
33, Quảng Nam, 2022-11-19, 12:05, 27, Mưa vừa, 23, 27, 0.76, 9.07, 3.32, 22, 0.0, Khá
34, Quảng Ngãi, 2022-11-19, 12:05, 24, Mưa cường độ nặng, 23, 27, 0.89, 10.0, 2.64, 22, 0.0, Tốt
35, Bình Định, 2022-11-19, 12:05, 24, Nhiều mây, 23, 26, 0.94, 3.06, 6.43, 23, 0.0, Tốt
36, Phú Yên, 2022-11-19, 12:05, 22, Nhiều mây, 21, 24, 0.99, 0.85, 2.3, 22, 1.36, Tốt
37, Khánh Hòa, 2022-11-19, 12:05, 27, Nhiều mây, 22, 28, 0.98, 1.14, 1.92, 27, 0.0, Tốt
38, Ninh Thuận, 2022-11-19, 12:05, 23, Nhiều mây, 22, 28, 0.97, 5.03, 2.82, 22, 0.58, Tốt
39, Bình Thuận, 2022-11-19, 12:05, 22, Nhiều mây, 21, 28, 0.97, 7.44, 1.23, 21, 1.49, Tốt
40, Kon Tum, 2022-11-19, 12:05, 25, Nhiều mây, 19, 27, 0.7, 10.0, 2.01, 19, 0.0, Tốt
41, Gia Lai, 2022-11-19, 12:05, 22, Mưa vừa, 19, 25, 0.92, 10.0, 2.18, 20, 0.0, Tốt
42, Đắk Lắk, 2022-11-19, 12:05, 20, Nhiều mây, 19, 23, 0.97, 10.0, 1.71, 20, 0.0, Tốt
43, Đắk Nông, 2022-11-19, 12:05, 20, Nhiều mây, 19, 23, 0.97, 10.0, 1.71, 20, 0.0, Tốt
44, Lâm Đồng, 2022-11-19, 12:05, 19, Nhiều mây, 18, 26, 0.99, 3.86, 0.58, 19, 0.0, Khá
45, Bình Phước, 2022-11-19, 12:05, 26, Nhiều mây, 20, 26, 0.73, 10.0, 2.15, 21, 0.0, Tốt
46, Tây Ninh, 2022-11-19, 12:05, 28, Nhiều mây, 22, 28, 0.73, 10.0, 2.96, 23, 7.4, Tốt
47, Bình Dương, 2022-11-19, 12:05, 28, Mây cụm, 22, 28, 0.83, 10.0, 2.57, 25, 0.0, Tốt
48, Đồng Nai, 2022-11-19, 12:05, 28, Mưa nhẹ, 22, 28, 0.82, 10.0, 2.15, 25, 0.0, Tốt
49, Bà Rịa - Vũng Tàu, 2022-11-19, 12:05, 24, Mưa nhẹ, 22, 25, 0.88, 10.0, 1.05, 22, 3.01, Tốt
50, Hồ Chí Minh, 2022-11-19, 12:05, 28, Mưa nhẹ, 22, 28, 0.83, 10.0, 2.57, 25, 6.35, Khá
51, Long An, 2022-11-19, 12:05, 28, Mưa vừa, 22, 28, 0.76, 10.0, 4.03, 23, 0.0, Khá
52, Tiền Giang, 2022-11-19, 12:05, 26, Nhiều mây, 21, 27, 0.86, 10.0, 2.62, 24, 0.0, Kém
53, Bến Tre, 2022-11-19, 12:05, 25, Nhiều mây, 21, 26, 0.89, 10.0, 2.07, 23, 3.47, Kém
54, Trà Vinh, 2022-11-19, 12:05, 26, Nhiều mây, 21, 26, 0.87, 10.0, 2.14, 23, 3.0, Rất kém
55, Vĩnh Long, 2022-11-19, 12:05, 27, Mưa nhẹ, 21, 27, 0.82, 10.0, 1.86, 24, 0.0, Kém
56, Đồng Tháp, 2022-11-19, 12:05, 27, Nhiều mây, 22, 27, 0.77, 10.0, 3.5, 23, 3.75, Khá
57, An Giang, 2022-11-19, 12:05, 27, Nhiều mây, 22, 27, 0.75, 10.0, 3.26, 22, 4.26, Kém
58, Kiên Giang, 2022-11-19, 12:05, 26, Nhiều mây, 22, 26, 0.83, 10.0, 2.79, 23, 0.0, Trung bình
59, Cần Thơ, 2022-11-19, 12:05, 27, Mây cụm, 21, 27, 0.83, 10.0, 2.57, 24, 0.0, Kém
60, Hậu Giang, 2022-11-19, 12:05, 27, Nhiều mây, 22, 27, 0.83, 10.0, 3.5, 24, 0.0, Kém
61, Sóc Trăng, 2022-11-19, 12:05, 25, Nhiều mây, 22, 27, 0.88, 10.0, 3.28, 23, 3.98, Rất kém
62, Bạc Liêu, 2022-11-19, 12:05, 26, Nhiều mây, 22, 26, 0.85, 10.0, 4.37, 23, 0.0, Kém
63, Cà Mau, 2022-11-19, 12:05, 26, Nhiều mây, 22, 27, 0.81, 10.0, 2.55, 23, 0.0, Trung bình
